Flagstaff,68667,35.1982836,-111.651302
Lake Havasu City,52844,34.483901,-114.3224548
Prescott,40590,34.5400242,-112.4685025
Buckeye,56683,33.3703197,-112.5837766
Scottsdale,226918,33.4941704,-111.9260519
Gilbert,229972,33.3528264,-111.789027
Marana,38290,32.436381,-111.2224422
Tucson,526116,32.2217429,-110.926479
Oro Valley,41627,32.3909071,-110.966488
Mesa,457587,33.4151843,-111.8314724
Maricopa,45508,33.0581063,-112.0476423
Chandler,249146,33.3061605,-111.8412502
Apache Junction,37130,33.4150485,-111.5495777
Avondale,78822,33.4355977,-112.3496021
Casa Grande,50111,32.8795022,-111.7573521
Prescott Valley,39791,34.6100243,-112.315721
Surprise,123546,33.6292337,-112.3679279
Sierra Vista,45129,31.5455001,-110.2772856
Yuma,91923,32.6926512,-114.6276916
Bullhead City,39383,35.1359386,-114.5285981
Peoria,162592,33.5805955,-112.2373779
Tempe,168228,33.4255104,-111.9400054
Phoenix,1513367,33.4483771,-112.0740373
Glendale,234632,33.5386523,-112.1859866
Goodyear,72864,33.4353394,-112.3576567
