Cleveland,390113,41.49932,-81.6943605
Lima,38355,40.742551,-84.1052256
Lancaster,39325,39.7136754,-82.5993294
Kettering,55870,39.6895036,-84.1688274
Columbus,822553,39.9611755,-82.9987942
Cuyahoga Falls,49267,41.1339449,-81.4845585
Grove City,37490,39.8814519,-83.0929644
Parma,80429,41.4047742,-81.7229086
Youngstown,65184,41.0997803,-80.6495194
Mansfield,46454,40.75839,-82.5154471
Dublin,43607,40.0992294,-83.1140771
Findlay,41512,41.04422,-83.6499321
Strongsville,44730,41.3144966,-81.83569
Dayton,143355,39.7589478,-84.1916069
Euclid,48139,41.5931049,-81.5267873
Warren,40768,41.2375569,-80.8184166
Huber Heights,38142,39.843947,-84.1246608
Hamilton,62258,39.3995008,-84.5613355
Springfield,59357,39.9242266,-83.8088171
Mentor,46979,41.6661573,-81.339552
Elyria,53956,41.3683798,-82.1076486
Cincinnati,297517,39.1031182,-84.5120196
Toledo,282313,41.6639383,-83.555212
Middletown,48630,39.5150576,-84.3982763
Newark,47777,40.0581205,-82.4012642
Westerville,37530,40.1261743,-82.9290696
Lakewood,51143,41.4819932,-81.7981908
Canton,72535,40.7989473,-81.378447
Cleveland Heights,45394,41.5200518,-81.556235
Akron,198100,41.0814447,-81.5190053
Lorain,63710,41.452819,-82.1823746
Beavercreek,45712,39.7092262,-84.0632685
Fairfield,42635,39.3454673,-84.5603187
