Buffalo,258959,42.8864468,-78.8783689
Mount Vernon,68224,40.9125992,-73.8370786
Schenectady,65902,42.8142432,-73.9395687
Binghamton,46444,42.0986867,-75.9179738
Albany,98424,42.6525793,-73.7562317
Hempstead,55361,40.7062128,-73.6187397
Troy,49974,42.7284117,-73.6917851
Syracuse,144669,43.0481221,-76.1474244
Valley Stream,37659,40.6642699,-73.7084645
Yonkers,199766,40.9312099,-73.8987469
Niagara Falls,49468,43.0962143,-79.0377388
White Plains,57866,41.0339862,-73.7629097
Freeport,43167,40.6576022,-73.5831835
Utica,61808,43.100903,-75.232664
New Rochelle,79446,40.9114882,-73.7823549
Rochester,210358,43.16103,-77.6109219
New York,8405837,40.7127837,-74.0059413
